托里-克雷格 毕业大学 South
托里-克雷格 球员主页 Carolina
胡安-埃尔南戈麦斯 号码 41
胡安-埃尔南戈麦斯 位置 小前锋
胡安-埃尔南戈麦斯 身高 2.06m
胡安-埃尔南戈麦斯 体重 104kg
胡安-埃尔南戈麦斯 年龄 23
胡安-埃尔南戈麦斯 生涯 0年
胡安-埃尔南戈麦斯 球员主页 http://nba.sports.163.com//player/1000000482/
马利克-比斯利 号码 25
马利克-比斯利 位置 得分后卫
马利克-比斯利 身高 1.96m
马利克-比斯利 体重 88kg
马利克-比斯利 年龄 21
马利克-比斯利 生涯 0年
马利克-比斯利 毕业大学 Florida
马利克-比斯利 球员主页 State
尼古拉-约基奇 号码 15
尼古拉-约基奇 位置 中锋
尼古拉-约基奇 身高 2.13m
尼古拉-约基奇 体重 113kg
尼古拉-约基奇 年龄 23
尼古拉-约基奇 生涯 0年
尼古拉-约基奇 球员主页 http://nba.sports.163.com//player/1000000486/
泰勒-莱登 号码 20
泰勒-莱登 位置 大前锋
泰勒-莱登 身高 2.08m
泰勒-莱登 体重 102kg
泰勒-莱登 年龄 22
泰勒-莱登 生涯 0年
泰勒-莱登 毕业大学 Syracuse
泰勒-莱登 球员主页 http://nba.sports.163.com//player/1000000487/
唐纳德-斯隆 号码 0
唐纳德-斯隆 位置 控球后卫
唐纳德-斯隆 身高 1.90m
唐纳德-斯隆 体重 92kg
唐纳德-斯隆 年龄 30
唐纳德-斯隆 生涯 5年
唐纳德-斯隆 毕业大学 Texas
唐纳德-斯隆 球员主页 A&M
泽维尔-西拉斯 号码 13
泽维尔-西拉斯 位置 得分后卫
泽维尔-西拉斯 身高 1.96m
泽维尔-西拉斯 体重 89kg
泽维尔-西拉斯 年龄 30
泽维尔-西拉斯 生涯 0年
泽维尔-西拉斯 毕业大学 Northern
泽维尔-西拉斯 球员主页 Illinois
贾里德-范德比尔特 号码 8
贾里德-范德比尔特 位置 小前锋
贾里德-范德比尔特 身高 2.06m
贾里德-范德比尔特 体重 97kg
贾里德-范德比尔特 年龄 19
贾里德-范德比尔特 生涯 0年
贾里德-范德比尔特 毕业大学 Kentucky
贾里德-范德比尔特 球员主页 http://nba.sports.163.com//player/1000000757/
迈克尔-波特 号码 1
迈克尔-波特 位置 大前锋
迈克尔-波特 身高 2.08m
迈克尔-波特 体重 95kg
迈克尔-波特 年龄 20
迈克尔-波特 生涯 0年
迈克尔-波特 毕业大学 Missouri
迈克尔-波特 球员主页 http://nba.sports.163.com//player/1000000758/
托马斯-威尔士 号码 45
托马斯-威尔士 位置 中锋
托马斯-威尔士 身高 2.13m
托马斯-威尔士 体重 115kg
托马斯-威尔士 年龄 22
托马斯-威尔士 生涯 0年
托马斯-威尔士 毕业大学 California-Los
托马斯-威尔士 球员主页 Angeles
德沃恩-库恩-珀塞尔 号码 23
德沃恩-库恩-珀塞尔 位置 得分后卫
德沃恩-库恩-珀塞尔 身高 1.98m
德沃恩-库恩-珀塞尔 体重 90kg
德沃恩-库恩-珀塞尔 年龄 25
德沃恩-库恩-珀塞尔 生涯 0年
德沃恩-库恩-珀塞尔 毕业大学 Illinois
德沃恩-库恩-珀塞尔 球员主页 State
伊曼努尔-特里 号码 22
伊曼努尔-特里 位置 小前锋
伊曼努尔-特里 身高 2.06m
伊曼努尔-特里 体重 99kg
伊曼努尔-特里 年龄 23
伊曼努尔-特里 生涯 0年
伊曼努尔-特里 毕业大学 Lincoln
伊曼努尔-特里 球员主页 Memorial
亚历克斯-波伊思雷斯 号码 22
亚历克斯-波伊思雷斯 位置 大前锋
亚历克斯-波伊思雷斯 身高 2.06m
亚历克斯-波伊思雷斯 体重 106kg
亚历克斯-波伊思雷斯 年龄 25
亚历克斯-波伊思雷斯 生涯 0年
亚历克斯-波伊思雷斯 毕业大学 Kentucky
亚历克斯-波伊思雷斯 球员主页 http://nba.sports.163.com//player/1000000068/
贾斯廷-安德森 号码 1
贾斯廷-安德森 位置 得分后卫
贾斯廷-安德森 身高 1.98m
贾斯廷-安德森 体重 104kg
贾斯廷-安德森 年龄 25
贾斯廷-安德森 生涯 0年
贾斯廷-安德森 毕业大学 Virginia
贾斯廷-安德森 球员主页 http://nba.sports.163.com//player/1000000127/
亚历克斯-莱恩 号码 25
亚历克斯-莱恩 位置 中锋
亚历克斯-莱恩 身高 2.16m
亚历克斯-莱恩 体重 113kg
亚历克斯-莱恩 年龄 25
亚历克斯-莱恩 生涯 0年
亚历克斯-莱恩 毕业大学 Maryland
亚历克斯-莱恩 球员主页 http://nba.sports.163.com//player/1000000210/
约翰-科林斯 号码 20
约翰-科林斯 位置 大前锋
约翰-科林斯 身高 2.08m
约翰-科林斯 体重 106kg
约翰-科林斯 年龄 21
约翰-科林斯 生涯 0年
约翰-科林斯 毕业大学 Wake
约翰-科林斯 球员主页 Forest
肯特-贝兹莫尔 号码 24
肯特-贝兹莫尔 位置 得分后卫
肯特-贝兹莫尔 身高 1.96m
肯特-贝兹莫尔 体重 91kg
肯特-贝兹莫尔 年龄 29
肯特-贝兹莫尔 生涯 0年
肯特-贝兹莫尔 毕业大学 Old
肯特-贝兹莫尔 球员主页 Dominion
托里恩-普林斯 号码 12
托里恩-普林斯 位置 小前锋
托里恩-普林斯 身高 2.03m
托里恩-普林斯 体重 99kg
托里恩-普林斯 年龄 24
托里恩-普林斯 生涯 0年
托里恩-普林斯 毕业大学 Baylor
托里恩-普林斯 球员主页 http://nba.sports.163.com//player/1000000262/
迈尔斯-普拉姆利 号码 18
迈尔斯-普拉姆利 位置 中锋
迈尔斯-普拉姆利 身高 2.11m
迈尔斯-普拉姆利 体重 112kg
迈尔斯-普拉姆利 年龄 30
迈尔斯-普拉姆利 生涯 0年
迈尔斯-普拉姆利 毕业大学 Duke
迈尔斯-普拉姆利 球员主页 http://nba.sports.163.com//player/1000000264/
泰勒-多西 号码 2
泰勒-多西 位置 得分后卫
泰勒-多西 身高 1.96m
泰勒-多西 体重 83kg
泰勒-多西 年龄 22
泰勒-多西 生涯 0年
泰勒-多西 毕业大学 Oregon
泰勒-多西 球员主页 http://nba.sports.163.com//player/1000000268/
德维恩-戴德蒙 号码 14
德维恩-戴德蒙 位置 中锋
德维恩-戴德蒙 身高 2.13m
德维恩-戴德蒙 体重 111kg
德维恩-戴德蒙 年龄 29
德维恩-戴德蒙 生涯 0年
德维恩-戴德蒙 毕业大学 Southern
德维恩-戴德蒙 球员主页 California
德安德烈-本布里 号码 95
德安德烈-本布里 位置 小前锋
德安德烈-本布里 身高 1.98m
德安德烈-本布里 体重 95kg
德安德烈-本布里 年龄 24
德安德烈-本布里 生涯 0年
德安德烈-本布里 毕业大学 Saint
德安德烈-本布里 球员主页 Joseph's
文斯-卡特 号码 15
文斯-卡特 位置 得分后卫
